Entity,Code,Date,"Daily new estimated infections of COVID-19 (ICL, mean)","Daily new estimated infections of COVID-19 (IHME, mean)","Daily new estimated infections of COVID-19 (YYG, mean)","Daily new estimated infections of COVID-19 (LSHTM, median)","Daily new confirmed cases due to COVID-19 (rolling 7-day average, right-aligned)"
Afghanistan,AFG,2020-01-25,,,,,0
Afghanistan,AFG,2020-01-26,,,,,0
Afghanistan,AFG,2020-01-27,,,,,0
Afghanistan,AFG,2020-01-28,,,,,0
Afghanistan,AFG,2020-01-29,,,,,0
Afghanistan,AFG,2020-01-30,,,,,0
Afghanistan,AFG,2020-01-31,,,,,0
Afghanistan,AFG,2020-02-01,,,,,0
Afghanistan,AFG,2020-02-02,,,,,0
Afghanistan,AFG,2020-02-03,,,,,0
Afghanistan,AFG,2020-02-04,,1.6565000394542,,,0
Afghanistan,AFG,2020-02-05,,3.19051276027965,,,0
Afghanistan,AFG,2020-02-06,,4.7891136921579,,,0
Afghanistan,AFG,2020-02-07,,6.49767758261526,,,0
Afghanistan,AFG,2020-02-08,,8.21358382779599,,,0
Afghanistan,AFG,2020-02-09,,8.40308997754433,,,0
Afghanistan,AFG,2020-02-10,,8.66917313989449,,,0
Afghanistan,AFG,2020-02-11,,9.0190475381156,,,0
Afghanistan,AFG,2020-02-12,,9.46237631623099,,,0
Afghanistan,AFG,2020-02-13,,10.0117205001448,,,0
Afghanistan,AFG,2020-02-14,0,10.6831397526904,,,0
Afghanistan,AFG,2020-02-15,0.31,11.4969687969559,,,0
Afghanistan,AFG,2020-02-16,0.61,12.4786954944165,,,0
Afghanistan,AFG,2020-02-17,0.69,13.6599150626009,,,0
Afghanistan,AFG,2020-02-18,0.96,15.0794579852698,,,0
Afghanistan,AFG,2020-02-19,1.15,16.7848065189241,,,0
Afghanistan,AFG,2020-02-20,1.5,18.8337772749505,,,0
Afghanistan,AFG,2020-02-21,1.47,21.2966669889671,,,0
Afghanistan,AFG,2020-02-22,2.07,24.2591184833904,,,0
Afghanistan,AFG,2020-02-23,2.68,27.8256462329408,,,0
Afghanistan,AFG,2020-02-24,2.96,32.1237237048078,,,0.14286
Afghanistan,AFG,2020-02-25,3.56,37.3084246652431,,,0.14286
Afghanistan,AFG,2020-02-26,4.96,43.5673233499802,,,0.14286
Afghanistan,AFG,2020-02-27,5.78,51.1250880172571,,,0.14286
Afghanistan,AFG,2020-02-28,6.97,60.2471438272717,,,0.14286
Afghanistan,AFG,2020-02-29,8.76,71.2416714291928,,,0.14286
Afghanistan,AFG,2020-03-01,10.57,84.4589039357205,,,0.14286
Afghanistan,AFG,2020-03-02,13.26,100.28799420601,,,0
Afghanistan,AFG,2020-03-03,15.67,119.149878658387,,,0.14286
Afghanistan,AFG,2020-03-04,19.46,141.486327366938,,,0.42857
Afghanistan,AFG,2020-03-05,23.15,167.742904085496,,,0.42857
Afghanistan,AFG,2020-03-06,28.14,198.345267838613,,,0.42857
Afghanistan,AFG,2020-03-07,33.98,233.668065755052,,,0.42857
Afghanistan,AFG,2020-03-08,40.7,273.999757867899,,,0.57143
Afghanistan,AFG,2020-03-09,49.54,319.508712150921,,,0.85714
Afghanistan,AFG,2020-03-10,59.31,370.212790001491,,,0.85714
Afghanistan,AFG,2020-03-11,69.28,425.965277737355,,,1
Afghanistan,AFG,2020-03-12,81.72,486.452090812455,,,1.14286
Afghanistan,AFG,2020-03-13,97.86,551.205114654806,,,1.28571
Afghanistan,AFG,2020-03-14,119.25,619.631328199596,,,1.57143
Afghanistan,AFG,2020-03-15,143.33,691.045700347128,,,1.57143
Afghanistan,AFG,2020-03-16,171.85,764.702116048662,,,1.57143
Afghanistan,AFG,2020-03-17,210.29,839.822802213627,,,1.71429
Afghanistan,AFG,2020-03-18,257.89,915.638100439668,,,1.85714
Afghanistan,AFG,2020-03-19,305.89,991.428815366695,,,1.85714
Afghanistan,AFG,2020-03-20,363.73,1066.56437562081,,,2.28571
Afghanistan,AFG,2020-03-21,429.96,1140.55089196029,,,2.14286
Afghanistan,AFG,2020-03-22,490.7,1213.07078162777,,,2.57143
Afghanistan,AFG,2020-03-23,541.82,1284.01875400677,,,3.28571
Afghanistan,AFG,2020-03-24,624.99,1353.52676372905,,,3.28571
Afghanistan,AFG,2020-03-25,728,1421.96862072024,,,7.42857
Afghanistan,AFG,2020-03-26,842.65,1489.95839363839,,68.9920554190085,7.85714
Afghanistan,AFG,2020-03-27,958.28,1558.3288380951,,69.80116591761,8.85714
Afghanistan,AFG,2020-03-28,1095.46,1628.1038443653,,89.176932025364,11
Afghanistan,AFG,2020-03-29,1245.23,1700.47272984248,,110.163728294147,12
Afghanistan,AFG,2020-03-30,1352.4,1776.77267817066,,108.333175792121,15
Afghanistan,AFG,2020-03-31,1423.25,1858.46018153056,,137.632212590392,18.85714
Afghanistan,AFG,2020-04-01,1476.03,1947.07799394685,,169.735217288433,17.28571
Afghanistan,AFG,2020-04-02,1514.71,2044.21287899044,,160.575813316141,22.85714
Afghanistan,AFG,2020-04-03,1556.78,2151.43483295203,,219.721051448064,26.28571
Afghanistan,AFG,2020-04-04,1646.29,2270.21964785945,,197.427988457495,27.57143
Afghanistan,AFG,2020-04-05,1761.92,2401.81929507009,,223.976199358201,31.42857
